Emotion,Date,Time,Person
happy,30-06-2024,13:38:11,Person 1
neutral,30-06-2024,13:38:11,Person 3
sad,30-06-2024,13:38:13,Person 1
angry,30-06-2024,13:38:13,Person 2
sad,30-06-2024,13:38:14,Person 3
happy,30-06-2024,13:38:14,Person 3
sad,30-06-2024,13:38:15,Person 1
neutral,30-06-2024,13:38:15,Person 3
sad,30-06-2024,13:38:15,Person 1
neutral,30-06-2024,13:38:15,Person 3
sad,30-06-2024,13:38:19,Person 3
happy,30-06-2024,13:38:20,Person 2
neutral,30-06-2024,13:38:21,Person 3
sad,30-06-2024,13:38:22,Person 1
